country,year,iso_code,population,gdp,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,methane,nitrous_oxide,total_ghg,ghg_per_capita
United States,2019,USA,326751071.0,22177275000000.0,3580.71,10.959,739.64,1552.8,1258.87,519.26,258.31,4358.28,13.338
United States,2020,USA,329365079.0,22731707000000.0,3006.77,9.129,611.94,1296.67,1072.16,476.14,226.57,3709.48,11.263
United States,2021,USA,332000000.0,23300000000000.0,3148.74,9.484,626.8,1359.8,1144.47,474.85,240.94,3864.52,11.64
India,1990,IND,933379612.0,525615000000.0,819.52,0.878,632.94,158.74,33.59,197.93,106.93,1124.39,1.205
India,1991,IND,945513547.0,557152000000.0,892.33,0.944,678.53,173.48,37.46,207.67,115.82,1215.82,1.286
India,1992,IND,957805223.0,590582000000.0,948.64,0.99,721.82,187.23,39.79,219.01,123.72,1291.37,1.348
India,1993,IND,970256691.0,626016000000.0,993.16,1.024,767.75,192.68,41.89,237.44,124.93,1355.54,1.397
India,1994,IND,982870028.0,663577000000.0,1075.23,1.094,807.06,208.59,45.45,260.57,137.21,1473.02,1.499
India,1995,IND,995647338.0,703392000000.0,1122.19,1.127,854.54,217.47,46.28,271.17,146.7,1540.06,1.547
India,1996,IND,1008590754.0,745596000000.0,1192.95,1.183,920.85,229.3,49.53,275.55,152.87,1621.37,1.608
India,1997,IND,1021702433.0,790331000000.0,1233.16,1.207,955.58,239.53,50.42,291.36,162.84,1687.36,1.652
India,1998,IND,1034984565.0,837751000000.0,1305.41,1.261,980.23,250.84,54.64,304.41,171.47,1781.3,1.721
India,1999,IND,1048439364.0,888016000000.0,1372.72,1.309,1029.94,263.79,58.11,324.63,174.76,1872.11,1.786
India,2000,IND,1062069076.0,941297000000.0,1441.88,1.358,1085.47,306.23,75.86,339.24,179.43,1960.55,1.846
India,2001,IND,1075875974.0,997775000000.0,1501.16,1.395,1111.08,312.87,80.13,348.14,191.85,2041.15,1.897
India,2002,IND,1089862362.0,1057642000000.0,1503.95,1.38,1107.4,309.89,78.45,362.61,201.63,2068.19,1.898
India,2003,IND,1104030573.0,1121100000000.0,1622.3,1.469,1198.12,347.81,86.22,380.85,212.34,2215.48,2.007
India,2004,IND,1118382970.0,1188366000000.0,1640.56,1.467,1227.98,339.79,90.03,389.51,220.71,2250.77,2.013
India,2005,IND,1132921949.0,1259668000000.0,1726.9,1.524,1292.02,359.82,94.01,426.85,223.86,2377.61,2.099
India,2006,IND,1147649934.0,1335248000000.0,1797.04,1.566,1326.64,381.57,98.94,432.01,237.02,2466.07,2.149
India,2007,IND,1162569383.0,1415363000000.0,1804.49,1.552,1308.05,392.14,101.23,443.33,241.08,2488.9,2.141
India,2008,IND,1177682785.0,1500285000000.0,1886.19,1.602,1359.88,403.48,104.44,461.5,240.99,2588.68,2.198
India,2009,IND,1192992661.0,1590302000000.0,2015.08,1.689,1497.25,436.64,113.34,468.46,259.97,2743.5,2.3
India,2010,IND,1208501566.0,1685720000000.0,2048.1,1.695,1470.12,449.14,117.49,501.73,266.63,2816.46,2.331
India,2011,IND,1224212086.0,1786863000000.0,2102.18,1.717,1521.97,463.04,121.81,489.49,263.27,2854.94,2.332
India,2012,IND,1240126843.0,1894075000000.0,2138.0,1.724,1569.57,473.64,121.39,520.83,276.88,2935.71,2.367
India,2013,IND,1256248492.0,2007720000000.0,2264.24,1.802,1661.41,500.46,131.3,529.86,282.88,3076.97,2.449
India,2014,IND,1272579723.0,2128183000000.0,2222.8,1.747,1629.6,492.59,132.74,563.57,295.66,3082.03,2.422
India,2015,IND,1289123259.0,2255874000000.0,2365.59,1.835,1736.67,526.89,138.24,560.27,295.85,3221.7,2.499
India,2016,IND,1305881861.0,2391226000000.0,2449.54,1.876,1771.2,534.16,146.81,580.7,307.84,3338.08,2.556
India,2017,IND,1322858326.0,2534700000000.0,2408.67,1.821,1743.04,533.38,146.14,592.01,325.11,3325.79,2.514
India,2018,IND,1340055484.0,2686782000000.0,2523.63,1.883,1814.89,568.88,152.13,592.66,317.07,3433.36,2.562
India,2019,IND,1357476205.0,2847989000000.0,2610.95,1.923,1878.68,586.71,157.48,607.1,324.46,3542.52,2.61
India,2020,IND,1375123396.0,3018868000000.0,2435.96,1.771,1747.41,542.61,149.49,605.18,315.25,3356.4,2.441
India,2021,IND,1393000000.0,3200000000000.0,2701.89,1.94,1949.47,604.18,168.42,664.13,359.44,3725.46,2.674
Russia,1990,RUS,112482768.0,974243000000.0,2829.18,25.152,563.54,704.97,1554.72,1181.1,123.46,4133.73,36.75
Russia,1991,RUS,113382631.0,993728000000.0,2833.95,24.995,551.22,710.16,1556.2,1135.84,115.49,4085.29,36.031
Russia,1992,RUS,114289692.0,1013602000000.0,2738.11,23.958,528.78,672.64,1527.93,1125.11,115.17,3978.39,34.81
Russia,1993,RUS,115204009.0,1033874000000.0,2799.46,24.3,547.69,702.46,1533.05,1107.66,111.22,4018.35,34.88
Russia,1994,RUS,116125641.0,1054552000000.0,2655.31,22.866,515.42,653.31,1449.18,1084.73,112.24,3852.28,33.173
Russia,1995,RUS,117054646.0,1075643000000.0,2616.02,22.349,509.55,652.15,1462.67,1061.33,112.61,3789.96,32.378
Russia,1996,RUS,117991084.0,1097156000000.0,2626.69,22.262,505.82,664.51,1482.08,1044.74,107.29,3778.73,32.026
Russia,1997,RUS,118935012.0,1119099000000.0,2604.27,21.897,515.1,640.94,1428.3,1046.3,106.78,3757.35,31.592
Russia,1998,RUS,119886492.0,1141481000000.0,2534.9,21.144,493.85,630.9,1420.53,1007.2,103.44,3645.54,30.408
Russia,1999,RUS,120845584.0,1164310000000.0,2501.4,20.699,497.63,623.79,1389.8,993.52,102.8,3597.72,29.771
Russia,2000,RUS,121812349.0,1187596000000.0,1802.94,14.801,294.13,412.22,1084.34,718.69,74.2,2595.83,21.31
Russia,2001,RUS,122786848.0,1211348000000.0,1782.9,14.52,289.76,404.29,1097.47,747.88,76.18,2606.96,21.232
Russia,2002,RUS,123769142.0,1235575000000.0,1844.29,14.901,299.63,416.74,1122.56,751.29,76.87,2672.45,21.592
Russia,2003,RUS,124759296.0,1260287000000.0,1820.76,14.594,289.31,413.81,1103.57,757.68,76.45,2654.88,21.28
Russia,2004,RUS,125757370.0,1285493000000.0,1822.79,14.494,297.56,418.74,1102.22,736.77,74.91,2634.46,20.949
Russia,2005,RUS,126763429.0,1311202000000.0,1821.56,14.37,285.64,410.58,1106.61,743.64,78.71,2643.9,20.857
Russia,2006,RUS,127777536.0,1337427000000.0,1815.09,14.205,286.72,411.93,1136.75,744.46,76.78,2636.32,20.632
Russia,2007,RUS,128799757.0,1364175000000.0,1906.73,14.804,303.07,438.84,1163.31,750.78,78.41,2735.92,21.242
Russia,2008,RUS,129830155.0,1391459000000.0,1912.19,14.728,298.04,434.89,1170.78,782.04,76.54,2770.77,21.341
Russia,2009,RUS,130868796.0,1419288000000.0,1864.42,14.246,286.94,422.03,1142.82,755.43,78.9,2698.74,20.622
Russia,2010,RUS,131915746.0,1447673000000.0,1870.03,14.176,287.47,416.43,1160.35,778.52,76.63,2725.18,20.658
Russia,2011,RUS,132971072.0,1476627000000.0,1883.49,14.165,282.27,416.98,1195.61,772.38,80.6,2736.46,20.579
Russia,2012,RUS,134034841.0,1506159000000.0,1884.59,14.06,286.57,428.14,1180.86,783.06,79.08,2746.73,20.493
Russia,2013,RUS,135107120.0,1536283000000.0,1902.51,14.082,289.97,432.49,1212.74,770.33,80.98,2753.83,20.383
Russia,2014,RUS,136187977.0,1567008000000.0,1968.21,14.452,288.98,433.0,1246.76,795.34,81.9,2845.45,20.894
Russia,2015,RUS,137277480.0,1598348000000.0,1900.15,13.842,283.79,419.43,1179.09,779.48,82.15,2761.77,20.118
Russia,2016,RUS,138375700.0,1630315000000.0,1960.06,14.165,287.41,434.49,1254.61,794.04,82.54,2836.64,20.5
Russia,2017,RUS,139482706.0,1662922000000.0,1947.06,13.959,281.69,432.49,1221.05,814.83,81.39,2843.27,20.384
Russia,2018,RUS,140598567.0,1696180000000.0,1935.73,13.768,283.77,427.71,1228.85,826.27,82.36,2844.36,20.23
Russia,2019,RUS,141723356.0,1730104000000.0,1933.25,13.641,281.7,430.44,1220.05,792.76,83.57,2809.58,19.824
Russia,2020,RUS,142857143.0,1764706000000.0,1852.46,12.967,263.6,415.94,1193.34,741.2,75.86,2669.51,18.687
Russia,2021,RUS,144000000.0,1800000000000.0,1963.99,13.639,279.66,425.15,1257.3,830.58,84.75,2879.31,19.995
Japan,1990,JPN,133003550.0,4283730000000.0,893.89,6.721,335.82,380.17,178.58,29.09,21.12,944.09,7.098
Japan,1991,JPN,132737543.0,4305149000000.0,928.74,6.997,339.66,396.9,184.63,30.62,21.77,981.12,7.391
Japan,1992,JPN,132472068.0,4326674000000.0,938.28,7.083,348.62,401.34,183.75,30.1,22.45,990.83,7.48
Japan,1993,JPN,132207124.0,4348308000000.0,947.33,7.166,349.99,408.66,190.01,30.5,22.37,1000.2,7.565
Japan,1994,JPN,131942709.0,4370049000000.0,957.82,7.259,356.85,405.83,191.55,32.44,22.67,1012.92,7.677
Japan,1995,JPN,131678824.0,4391900000000.0,981.22,7.452,370.1,427.43,190.66,32.23,23.06,1036.51,7.872
Japan,1996,JPN,131415466.0,4413859000000.0,982.06,7.473,367.71,431.65,196.81,32.45,22.71,1037.22,7.893
Japan,1997,JPN,131152635.0,4435928000000.0,1024.17,7.809,385.03,435.83,205.21,33.75,23.61,1081.53,8.246
Japan,1998,JPN,130890330.0,4458108000000.0,1018.69,7.783,376.32,432.27,199.41,34.09,23.21,1075.99,8.221
Japan,1999,JPN,130628550.0,4480399000000.0,1019.64,7.806,376.66,441.18,204.29,33.64,24.03,1077.3,8.247
Japan,2000,JPN,130367292.0,4502801000000.0,1054.71,8.09,354.59,450.18,243.78,33.68,24.11,1112.49,8.534
Japan,2001,JPN,130106558.0,4525315000000.0,1056.38,8.119,353.09,463.72,244.63,35.05,25.11,1116.55,8.582
Japan,2002,JPN,129846345.0,4547941000000.0,1044.54,8.044,350.97,445.46,249.08,34.6,25.12,1104.26,8.504
Japan,2003,JPN,129586652.0,4570681000000.0,1062.24,8.197,360.01,459.21,251.03,34.89,25.97,1123.1,8.667
Japan,2004,JPN,129327479.0,4593534000000.0,1082.93,8.374,363.94,462.83,253.17,35.27,25.87,1144.08,8.846
Japan,2005,JPN,129068824.0,4616502000000.0,1116.61,8.651,361.3,488.5,265.25,36.8,26.16,1179.57,9.139
Japan,2006,JPN,128810686.0,4639584000000.0,1102.2,8.557,362.13,470.61,260.38,37.37,26.82,1166.4,9.055
Japan,2007,JPN,128553065.0,4662782000000.0,1095.42,8.521,354.11,477.24,262.56,35.36,25.46,1156.24,8.994
Japan,2008,JPN,128295959.0,4686096000000.0,1108.95,8.644,362.4,471.53,265.23,35.64,26.14,1170.73,9.125
Japan,2009,JPN,128039367.0,4709527000000.0,1065.58,8.322,338.96,467.61,255.77,36.38,25.35,1127.31,8.804
Japan,2010,JPN,127783288.0,4733074000000.0,1064.74,8.332,339.0,466.06,263.97,36.59,25.47,1126.79,8.818
Japan,2011,JPN,127527721.0,4756740000000.0,1090.29,8.549,344.96,469.37,272.17,34.66,24.87,1149.81,9.016
Japan,2012,JPN,127272666.0,4780523000000.0,1060.19,8.33,331.42,454.59,262.77,35.36,25.97,1121.52,8.812
Japan,2013,JPN,127018121.0,4804426000000.0,1087.59,8.563,342.71,468.07,268.78,35.54,24.9,1148.03,9.038
Japan,2014,JPN,126764084.0,4828448000000.0,1071.91,8.456,337.06,467.02,266.9,34.74,25.8,1132.46,8.934
Japan,2015,JPN,126510556.0,4852590000000.0,1073.97,8.489,332.43,474.08,269.35,35.83,25.45,1135.25,8.974
Japan,2016,JPN,126257535.0,4876853000000.0,1050.76,8.322,322.12,453.1,265.47,35.1,24.51,1110.37,8.795
Japan,2017,JPN,126005020.0,4901238000000.0,1030.48,8.178,324.76,457.44,261.53,33.97,24.41,1088.86,8.641
Japan,2018,JPN,125753010.0,4925744000000.0,1018.96,8.103,320.55,437.18,260.46,34.01,24.71,1077.67,8.57
Japan,2019,JPN,125501504.0,4950373000000.0,1046.66,8.34,326.54,450.92,262.85,33.55,25.09,1105.31,8.807
Japan,2020,JPN,125250501.0,4975124000000.0,979.12,7.817,301.16,428.78,253.74,31.12,23.23,1033.47,8.251
Japan,2021,JPN,125000000.0,5000000000000.0,1024.02,8.192,310.71,447.22,260.17,33.27,24.6,1081.89,8.655
Iran,1990,IRN,67958339.0,167441000000.0,293.74,4.322,7.25,123.45,161.09,86.88,11.9,392.52,5.776
Iran,1991,IRN,68502006.0,171627000000.0,317.96,4.642,7.75,135.36,174.98,93.16,12.91,424.04,6.19
Iran,1992,IRN,69050022.0,175918000000.0,332.86,4.821,8.09,138.68,181.61,97.07,12.81,442.73,6.412
Iran,1993,IRN,69602422.0,180316000000.0,343.49,4.935,8.48,144.87,191.26,98.4,13.39,455.27,6.541
Iran,1994,IRN,70159242.0,184824000000.0,362.15,5.162,8.9,154.92,198.97,103.43,14.6,480.18,6.844
Iran,1995,IRN,70720516.0,189444000000.0,378.16,5.347,9.37,159.1,209.06,108.38,14.54,501.08,7.085
Iran,1996,IRN,71286280.0,194181000000.0,395.17,5.543,9.57,170.8,217.21,111.4,15.52,522.1,7.324
Iran,1997,IRN,71856570.0,199035000000.0,409.1,5.693,10.15,175.83,226.78,119.17,16.4,544.67,7.58
Iran,1998,IRN,72431422.0,204011000000.0,410.92,5.673,10.1,172.52,230.77,125.32,16.19,552.42,7.627
Iran,1999,IRN,73010874.0,209111000000.0,435.07,5.959,10.88,182.36,240.31,129.47,16.74,581.29,7.962
Iran,2000,IRN,73594961.0,214339000000.0,449.56,6.109,9.1,177.28,271.08,134.06,17.78,601.4,8.172
Iran,2001,IRN,74183720.0,219698000000.0,468.0,6.309,9.61,179.64,281.22,131.09,18.49,617.58,8.325
Iran,2002,IRN,74777190.0,225190000000.0,467.79,6.256,9.25,177.31,280.22,137.76,19.22,624.78,8.355
Iran,2003,IRN,75375408.0,230820000000.0,478.09,6.343,9.46,184.1,288.07,141.8,19.7,639.58,8.485
Iran,2004,IRN,75978411.0,236590000000.0,512.94,6.751,10.19,194.55,300.32,150.89,19.55,683.38,8.994
Iran,2005,IRN,76586238.0,242505000000.0,527.44,6.887,10.36,205.18,319.23,156.41,20.52,704.37,9.197
Iran,2006,IRN,77198928.0,248568000000.0,539.37,6.987,10.46,205.45,324.9,159.63,21.91,720.91,9.338
Iran,2007,IRN,77816520.0,254782000000.0,554.11,7.121,10.66,209.98,335.93,157.87,21.36,733.34,9.424
Iran,2008,IRN,78439052.0,261151000000.0,557.21,7.104,10.58,209.51,331.73,160.12,21.8,739.13,9.423
Iran,2009,IRN,79066564.0,267680000000.0,589.85,7.46,11.18,221.95,358.21,166.05,23.65,779.55,9.859
Iran,2010,IRN,79699097.0,274372000000.0,598.77,7.513,11.1,224.98,367.25,177.78,23.57,800.12,10.039
Iran,2011,IRN,80336690.0,281231000000.0,608.27,7.571,11.22,233.17,364.27,182.13,24.41,814.81,10.142
Iran,2012,IRN,80979383.0,288262000000.0,622.69,7.69,11.56,230.93,372.81,178.63,24.31,825.63,10.196
Iran,2013,IRN,81627218.0,295469000000.0,642.73,7.874,11.75,236.05,397.94,190.22,26.01,858.95,10.523
Iran,2014,IRN,82280236.0,302855000000.0,664.43,8.075,11.97,246.7,408.76,192.43,25.4,882.26,10.723
Iran,2015,IRN,82938478.0,310427000000.0,673.37,8.119,12.05,247.61,411.42,195.54,26.64,895.55,10.798
Iran,2016,IRN,83601986.0,318188000000.0,663.58,7.937,12.09,243.75,399.6,203.34,27.84,894.76,10.703
Iran,2017,IRN,84270801.0,326142000000.0,704.46,8.36,12.7,262.12,432.29,197.94,27.53,929.93,11.035
Iran,2018,IRN,84944968.0,334296000000.0,701.95,8.264,12.28,261.19,430.61,202.02,27.78,931.76,10.969
Iran,2019,IRN,85624528.0,342653000000.0,727.57,8.497,12.53,271.35,447.15,211.24,29.0,967.81,11.303
Iran,2020,IRN,86309524.0,351220000000.0,695.1,8.054,12.0,256.78,429.19,197.84,27.98,920.92,10.67
Iran,2021,IRN,87000000.0,360000000000.0,761.15,8.749,13.2,282.34,476.5,222.75,30.61,1014.51,11.661
Germany,1990,DEU,78015110.0,2647293000000.0,981.09,12.576,338.26,377.55,272.22,71.01,37.08,1089.19,13.961
Germany,1991,DEU,78171140.0,2687002000000.0,977.28,12.502,328.23,379.18,264.46,70.89,36.32,1084.49,13.873
Germany,1992,DEU,78327482.0,2727307000000.0,931.31,11.89,322.85,361.43,255.89,68.61,34.9,1034.81,13.211
Germany,1993,DEU,78484137.0,2768217000000.0,940.79,11.987,328.24,362.23,255.94,70.36,34.98,1046.13,13.329
Germany,1994,DEU,78641106.0,2809740000000.0,936.18,11.904,315.43,362.3,257.58,70.81,34.12,1041.12,13.239
Germany,1995,DEU,78798388.0,2851886000000.0,917.24,11.64,319.41,345.72,256.36,68.77,33.12,1019.13,12.933
Germany,1996,DEU,78955985.0,2894664000000.0,890.19,11.275,307.26,335.05,245.33,66.48,33.79,990.46,12.545
Germany,1997,DEU,79113897.0,2938084000000.0,866.93,10.958,301.17,338.33,242.6,67.19,32.37,966.49,12.216
Germany,1998,DEU,79272124.0,2982156000000.0,886.32,11.181,297.63,332.98,241.74,65.26,33.18,984.75,12.422
Germany,1999,DEU,79430669.0,3026888000000.0,870.87,10.964,297.46,330.53,243.97,64.11,32.11,967.09,12.175
Germany,2000,DEU,79589530.0,3072291000000.0,836.59,10.511,258.92,317.39,262.77,61.91,32.09,930.59,11.692
Germany,2001,DEU,79748709.0,3118376000000.0,845.32,10.6,254.93,323.96,266.07,62.35,32.13,939.8,11.785
Germany,2002,DEU,79908207.0,3165151000000.0,823.46,10.305,250.72,308.7,261.77,63.49,30.68,917.64,11.484
Germany,2003,DEU,80068023.0,3212629000000.0,830.77,10.376,247.56,309.12,262.78,61.35,30.16,922.29,11.519
Germany,2004,DEU,80228159.0,3260818000000.0,817.28,10.187,244.67,313.37,261.41,61.22,30.45,908.95,11.33
Germany,2005,DEU,80388615.0,3309730000000.0,801.31,9.968,242.2,304.73,262.14,57.69,28.67,887.68,11.042
Germany,2006,DEU,80549393.0,3359376000000.0,794.92,9.869,236.88,302.71,259.8,56.77,28.4,880.08,10.926
Germany,2007,DEU,80710491.0,3409767000000.0,773.59,9.585,227.62,287.63,254.14,55.7,28.74,858.04,10.631
Germany,2008,DEU,80871912.0,3460913000000.0,745.71,9.221,221.48,278.48,245.79,54.65,27.43,827.78,10.236
Germany,2009,DEU,81033656.0,3512827000000.0,738.37,9.112,215.4,278.94,242.92,56.05,28.3,822.72,10.153
Germany,2010,DEU,81195723.0,3565520000000.0,740.52,9.12,211.1,278.4,242.94,53.66,28.05,822.22,10.126
Germany,2011,DEU,81358115.0,3619002000000.0,705.4,8.67,203.76,266.65,238.15,53.79,26.01,785.2,9.651
Germany,2012,DEU,81520831.0,3673287000000.0,700.05,8.587,201.29,259.02,234.14,51.22,25.68,776.96,9.531
Germany,2013,DEU,81683873.0,3728387000000.0,690.54,8.454,194.45,260.47,235.2,52.73,25.43,768.71,9.411
Germany,2014,DEU,81847241.0,3784313000000.0,670.72,8.195,187.63,253.68,229.66,49.47,26.12,746.31,9.118
Germany,2015,DEU,82010935.0,3841077000000.0,654.99,7.987,185.47,248.43,226.78,50.64,25.45,731.09,8.914
Germany,2016,DEU,82174957.0,3898693000000.0,652.66,7.942,185.8,241.35,227.22,49.24,25.02,726.92,8.846
Germany,2017,DEU,82339307.0,3957174000000.0,644.34,7.825,181.19,242.59,223.9,46.99,23.46,714.79,8.681
Germany,2018,DEU,82503985.0,4016531000000.0,625.81,7.585,171.64,238.85,214.02,48.65,23.42,697.87,8.459
